titles,images,prices,ratings,purls
Voyage,https://m.media-amazon.com/images/I/41IwLRMMTOL._AC_UL320_.jpg,₹650,3.8,
Dervin,https://m.media-amazon.com/images/I/51Z1Tml1OzL._AC_UL320_.jpg,₹432,3.8,
Fastrack,https://m.media-amazon.com/images/I/514D2oHyFOL._AC_UL320_.jpg,"₹1,689",,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51u96P8oRQL._AC_UL320_.jpg,₹899,4.2,
Poshh Eyewear,https://m.media-amazon.com/images/I/51eDUMULwAL._AC_UL320_.jpg,₹759,4.0,
Dervin,https://m.media-amazon.com/images/I/71rJnI5WU4L._AC_UL320_.jpg,₹432,4.2,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/419LT2LxNZL._AC_UL320_.jpg,₹999,4.0,
HUVORA,https://m.media-amazon.com/images/I/31H6uDsDUzL._AC_UL320_.jpg,₹699,5.0,
Liza Angel,https://m.media-amazon.com/images/I/61Y9Mbm+1dL._AC_UL320_.jpg,₹309,4.1,
Eyewearlabs,https://m.media-amazon.com/images/I/51yXWwAs0-L._AC_UL320_.jpg,"₹1,699",3.8,
Dervin,https://m.media-amazon.com/images/I/61fIZxHbhrL._AC_UL320_.jpg,₹489,5.0,
Peter Jones,https://m.media-amazon.com/images/I/51UkzfCQieL._AC_UL320_.jpg,₹623,4.8,
CREEK,https://m.media-amazon.com/images/I/511udsxNP8L._AC_UL320_.jpg,₹299,3.4,
Dervin,https://m.media-amazon.com/images/I/41w9y1HS7GL._AC_UL320_.jpg,₹349,3.8,
Fastrack,https://m.media-amazon.com/images/I/61q2vkAWuJL._AC_UL320_.jpg,"₹1,712",3.9,
FILA,https://m.media-amazon.com/images/I/412M57Ho7+L._AC_UL320_.jpg,"₹2,409",5.0,
John Jacobs,https://m.media-amazon.com/images/I/51-AIPKktiL._AC_UL320_.jpg,"₹1,859",3.8,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41DjZNun3nL._AC_UL320_.jpg,₹891,4.1,
Voyage,https://m.media-amazon.com/images/I/51+Ntju4q3L._AC_UL320_.jpg,₹665,4.4,
mashamart,https://m.media-amazon.com/images/I/512-zums5FL._AC_UL320_.jpg,₹417,3.4,
Voyage,https://m.media-amazon.com/images/I/51KtSCcattL._AC_UL320_.jpg,₹643,,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41yot0ULeJL._AC_UL320_.jpg,₹789,3.9,
DSC,https://m.media-amazon.com/images/I/51YaEreNnDL._AC_UL320_.jpg,"₹1,628",4.1,
Eyewearlabs,https://m.media-amazon.com/images/I/518cM16oKzL._AC_UL320_.jpg,"₹1,584",3.8,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/416f6RYJAcL._AC_UL320_.jpg,₹849,4.1,
ELEGANTE,https://m.media-amazon.com/images/I/31Is57fdCSL._AC_UL320_.jpg,₹379,3.8,
ARZONAI,https://m.media-amazon.com/images/I/51bhCCbSiYL._AC_UL320_.jpg,₹284,3.3,
Tommy Hilfiger,https://m.media-amazon.com/images/I/51ODHerIxZL._AC_UL320_.jpg,"₹3,684",4.2,
GUESS,https://m.media-amazon.com/images/I/51WVzHJ6LJL._AC_UL320_.jpg,"₹3,679",1.0,
ROYAL SON,https://m.media-amazon.com/images/I/71y4knn2IaL._AC_UL320_.jpg,"₹1,141",3.8,
CREATURE,https://m.media-amazon.com/images/I/71zYMN6OyoL._AC_UL320_.jpg,₹399,3.8,
MINARELLI,https://m.media-amazon.com/images/I/51DJRnCwakL._AC_UL320_.jpg,₹699,2.6,
Fastrack,https://m.media-amazon.com/images/I/41t-hmdV4rL._AC_UL320_.jpg,"₹1,689",,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41Lfrp2EtoL._AC_UL320_.jpg,₹749,3.9,
FEISEDY,https://m.media-amazon.com/images/I/51977BTcl8S._AC_UL320_.jpg,"₹1,150",4.2,
Dervin,https://m.media-amazon.com/images/I/518HY4+Ls8L._AC_UL320_.jpg,₹435,3.6,
Karsaer,https://m.media-amazon.com/images/I/514ZmOlsh5L._AC_UL320_.jpg,"₹1,047",3.6,
SUNGAIT,https://m.media-amazon.com/images/I/51u9BEzQ5gL._AC_UL320_.jpg,"₹1,708",3.9,
Voyage,https://m.media-amazon.com/images/I/41IwLRMMTOL._AC_UL320_.jpg,₹694,4.2,
ELEGANTE,https://m.media-amazon.com/images/I/51c+ksIBueL._AC_UL320_.jpg,₹599,3.8,
Dervin,https://m.media-amazon.com/images/I/51KJDGXGq2L._AC_UL320_.jpg,₹399,3.5,
Indusoire,https://m.media-amazon.com/images/I/51sgxcVLmOL._AC_UL320_.jpg,₹559,,
NHCDFA,https://m.media-amazon.com/images/I/51nm0o7e55L._AC_UL320_.jpg,₹429,3.3,
Karsaer,https://m.media-amazon.com/images/I/31tL4KP0leL._AC_UL320_.jpg,₹990,3.7,
FEISEDY,https://m.media-amazon.com/images/I/51zqXr1fRsL._AC_UL320_.jpg,₹910,4.4,
Dervin,https://m.media-amazon.com/images/I/514vEIt0qCL._AC_UL320_.jpg,₹429,3.3,
CREEK,https://m.media-amazon.com/images/I/71mVrYcl-GL._AC_UL320_.jpg,₹699,3.5,
Dervin,https://m.media-amazon.com/images/I/51cZdgap6dL._AC_UL320_.jpg,₹575,3.6,
ROYAL SON,https://m.media-amazon.com/images/I/61yp-saqYKL._AC_UL320_.jpg,₹616,4.0,
Karsaer,https://m.media-amazon.com/images/I/51e6go09ZsL._AC_UL320_.jpg,"₹1,091",,
OKNO,https://m.media-amazon.com/images/I/51+yGRzPTAL._AC_UL320_.jpg,"₹1,924.",3.8,
IDEE,https://m.media-amazon.com/images/I/51cb7VA6weL._AC_UL320_.jpg,"₹1,819",,
Eyewearlabs,https://m.media-amazon.com/images/I/51+00yVlomL._AC_UL320_.jpg,"₹1,234",3.8,
OPTICSFIT,https://m.media-amazon.com/images/I/413y4VHzZzL._AC_UL320_.jpg,₹729,5.0,
Anemxer,https://m.media-amazon.com/images/I/61CRB-Eb0PL._AC_UL320_.jpg,₹649,3.6,
CREATURE,https://m.media-amazon.com/images/I/41STApZizVL._AC_UL320_.jpg,₹347,4.3,
Voyage,https://m.media-amazon.com/images/I/51fNP30HB0L._AC_UL320_.jpg,₹680,4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41DjZNun3nL._AC_UL320_.jpg,₹891,4.1,
John Jacobs,https://m.media-amazon.com/images/I/511RXyYUGqL._AC_UL320_.jpg,"₹1,499",3.9,
Karsaer,https://m.media-amazon.com/images/I/51q6GSICZWL._AC_UL320_.jpg,"₹1,250",,
Karsaer,https://m.media-amazon.com/images/I/61Q-WPSh-OL._AC_UL320_.jpg,"₹1,487",5.0,
Generic,https://m.media-amazon.com/images/I/71LmXXp+5YL._AC_UL320_.jpg,₹299,5.0,
Eyewearlabs,https://m.media-amazon.com/images/I/51+00yVlomL._AC_UL320_.jpg,"₹1,234",3.8,
Poshh Eyewear,https://m.media-amazon.com/images/I/51eDUMULwAL._AC_UL320_.jpg,₹799,2.4,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/518xVy+1rCL._AC_UL320_.jpg,₹949,,
IDEE,https://m.media-amazon.com/images/I/51gGhI0uzwL._AC_UL320_.jpg,"₹1,689",,
IRUS,https://m.media-amazon.com/images/I/41hb46sNJwL._AC_UL320_.jpg,₹579,3.5,
GUESS,https://m.media-amazon.com/images/I/51hZ86EVvDL._AC_UL320_.jpg,"₹3,348.",,
Hooper,https://m.media-amazon.com/images/I/51njnV3Vd4L._AC_UL320_.jpg,₹589,3.9,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51cPGPBC-DL._AC_UL320_.jpg,₹943.,1.0,
John Jacobs,https://m.media-amazon.com/images/I/51N+S7wuOLL._AC_UL320_.jpg,"₹1,799",4.0,
AISLIN,https://m.media-amazon.com/images/I/41RCZF+fqUL._AC_UL320_.jpg,₹787,4.1,
Dervin,https://m.media-amazon.com/images/I/41w9y1HS7GL._AC_UL320_.jpg,₹349,3.8,
Karsaer,https://m.media-amazon.com/images/I/51e6go09ZsL._AC_UL320_.jpg,"₹1,091",,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41F6fvU0DmL._AC_UL320_.jpg,₹899,4.3,
Karsaer,https://m.media-amazon.com/images/I/514ZmOlsh5L._AC_UL320_.jpg,"₹1,047",3.6,
Dervin,https://m.media-amazon.com/images/I/51Svnidu+uL._AC_UL320_.jpg,₹379,3.4,
Peter Jones,https://m.media-amazon.com/images/I/51+KquYJZaL._AC_UL320_.jpg,₹799,5.0,
OPTICSFIT,https://m.media-amazon.com/images/I/41V3FJBUFfL._AC_UL320_.jpg,₹709,4.5,
Without,https://m.media-amazon.com/images/I/51iJWR8q8rL._AC_UL320_.jpg,"₹1,499",4.8,
FEISEDY,https://m.media-amazon.com/images/I/61KFYpYjVPL._AC_UL320_.jpg,"₹1,273",4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41gFtKAhuzL._AC_UL320_.jpg,₹799,4.0,
IDEE,https://m.media-amazon.com/images/I/51-1ldXNZgL._AC_UL320_.jpg,"₹1,527",4.5,
Intellilens,https://m.media-amazon.com/images/I/41h8TmQC5wL._AC_UL320_.jpg,₹499,3.6,
John Jacobs,https://m.media-amazon.com/images/I/51DjgYX6WWL._AC_UL320_.jpg,"₹1,799",3.9,
Royaltail,https://m.media-amazon.com/images/I/61kZ9qX150L._AC_UL320_.jpg,₹889,3.8,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/418yDLKGcPL._AC_UL320_.jpg,₹879,4.3,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51cWNYYeXGL._AC_UL320_.jpg,₹799,4.1,
HASHTAG EYEWEAR,https://m.media-amazon.com/images/I/51ckjcLreVL._AC_UL320_.jpg,"₹1,259",3.4,
Nautica,https://m.media-amazon.com/images/I/51d2xUMNI5L._AC_UL320_.jpg,"₹1,398.",3.9,
Eyewearlabs,https://m.media-amazon.com/images/I/51eQF1B34RL._AC_UL320_.jpg,"₹1,709",3.7,
Ray-Ban,https://m.media-amazon.com/images/I/41dQuain8PL._AC_UL320_.jpg,"₹3,909",3.7,
Dervin,https://m.media-amazon.com/images/I/41CqVUukSkL._AC_UL320_.jpg,₹349,3.9,
Fastrack,https://m.media-amazon.com/images/I/61VgsyxZDPL._AC_UL320_.jpg,"₹1,579",3.9,
Voyage,https://m.media-amazon.com/images/I/51pO39NaHlL._AC_UL320_.jpg,₹735,4.0,
Karsaer,https://m.media-amazon.com/images/I/413WR-TpZ5L._AC_UL320_.jpg,"₹1,229",3.9,
ROCF ROSSINI,https://m.media-amazon.com/images/I/71ptZwxCZ4L._AC_UL320_.jpg,₹898,4.3,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51D6R4SQxyL._AC_UL320_.jpg,₹899,4.5,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/411c4YadLbL._AC_UL320_.jpg,₹849,3.9,
CartHome,https://m.media-amazon.com/images/I/51yIxsCu26L._AC_UL320_.jpg,₹259,5.0,
GODSDWARES,https://m.media-amazon.com/images/I/61zS57m8dVL._AC_UL320_.jpg,₹499,,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51zYEVe8+mL._AC_UL320_.jpg,₹739.,,
ROYAL SON,https://m.media-amazon.com/images/I/61zNSM7BO0L._AC_UL320_.jpg,"₹1,040",3.8,
Fastrack,https://m.media-amazon.com/images/I/51qut4i2EwL._AC_UL320_.jpg,"₹2,200",3.9,
Eyewearlabs,https://m.media-amazon.com/images/I/51DMbFHnsYL._AC_UL320_.jpg,"₹2,099",4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51xCTiXGo1L._AC_UL320_.jpg,₹799,,
Electomania,https://m.media-amazon.com/images/I/41+TRU+HIiL._AC_UL320_.jpg,₹279,4.0,
OKNO,https://m.media-amazon.com/images/I/517Ws2Puc8L._AC_UL320_.jpg,₹999,3.6,
Dervin,https://m.media-amazon.com/images/I/51R38402BtL._AC_UL320_.jpg,₹379,3.3,
Dervin,https://m.media-amazon.com/images/I/61oXWLdc6LL._AC_UL320_.jpg,₹349,3.5,
Ray-Ban,https://m.media-amazon.com/images/I/512VObpSYkL._AC_UL320_.jpg,"₹4,259",3.6,
Karsaer,https://m.media-amazon.com/images/I/51MvYcuhjDL._AC_UL320_.jpg,"₹1,182",4.2,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41WFvmeuFEL._AC_UL320_.jpg,₹899,3.9,
NSSIW,https://m.media-amazon.com/images/I/51EPeD7MtML._AC_UL320_.jpg,₹999,2.0,
Louis Kouros,https://m.media-amazon.com/images/I/61VYjv19z-L._AC_UL320_.jpg,"₹1,499",4.2,
THE MEN THING,https://m.media-amazon.com/images/I/31bAUZsPBgL._AC_UL320_.jpg,"₹1,499",,
OPTICSFIT,https://m.media-amazon.com/images/I/41BpDapqkeL._AC_UL320_.jpg,₹749,4.4,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41DjZNun3nL._AC_UL320_.jpg,₹891,4.1,
John Jacobs,https://m.media-amazon.com/images/I/511RXyYUGqL._AC_UL320_.jpg,"₹1,499",3.9,
Karsaer,https://m.media-amazon.com/images/I/61wWs2hZNwL._AC_UL320_.jpg,"₹1,599",5.0,
Without,https://m.media-amazon.com/images/I/51imYn62tJL._AC_UL320_.jpg,"₹1,499",4.8,
CREATURE,https://m.media-amazon.com/images/I/71zYMN6OyoL._AC_UL320_.jpg,₹399,3.8,
John Jacobs,https://m.media-amazon.com/images/I/51-AIPKktiL._AC_UL320_.jpg,"₹1,859",3.8,
SUNGAIT,https://m.media-amazon.com/images/I/51u9BEzQ5gL._AC_UL320_.jpg,"₹1,708",3.9,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41Lfrp2EtoL._AC_UL320_.jpg,₹749,3.9,
4Flaunt,https://m.media-amazon.com/images/I/51yOSX2oiSL._AC_UL320_.jpg,₹424,4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51WeKpMdMaL._AC_UL320_.jpg,₹837,4.4,
Silver Kartz,https://m.media-amazon.com/images/I/61L5Qm8jJWL._AC_UL320_.jpg,₹349,3.4,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51K183qSQeL._AC_UL320_.jpg,₹799,5.0,
Dervin,https://m.media-amazon.com/images/I/5133qEF+xgL._AC_UL320_.jpg,₹349,4.3,
Liza Angel,https://m.media-amazon.com/images/I/61Y9Mbm+1dL._AC_UL320_.jpg,₹309,4.1,
CREATURE,https://m.media-amazon.com/images/I/71FrVGy0J+L._AC_UL320_.jpg,₹389,3.4,
FEISEDY,https://m.media-amazon.com/images/I/51977BTcl8S._AC_UL320_.jpg,"₹1,150",4.2,
Fastrack,https://m.media-amazon.com/images/I/51Tmwa-S2gL._AC_UL320_.jpg,"₹1,009",3.8,
Indusoire,https://m.media-amazon.com/images/I/51sgxcVLmOL._AC_UL320_.jpg,₹559,,
Dervin,https://m.media-amazon.com/images/I/415LCWT5nML._AC_UL320_.jpg,₹434,4.1,
Ray-Ban,https://m.media-amazon.com/images/I/51Ev9NYVO9L._AC_UL320_.jpg,"₹9,889",4.0,
FEISEDY,https://m.media-amazon.com/images/I/714XW7fA70L._AC_UL320_.jpg,"₹1,273",4.1,
OKNO,https://m.media-amazon.com/images/I/517Ws2Puc8L._AC_UL320_.jpg,₹999,3.6,
Eyewearlabs,https://m.media-amazon.com/images/I/51J+AZ2ZE0L._AC_UL320_.jpg,"₹2,499",4.1,
Karsaer,https://m.media-amazon.com/images/I/51gw8PH8rzL._AC_UL320_.jpg,₹950,3.5,
Karsaer,https://m.media-amazon.com/images/I/31tL4KP0leL._AC_UL320_.jpg,₹990,3.7,
Dervin,https://m.media-amazon.com/images/I/414QzYr4faL._AC_UL320_.jpg,₹349,3.5,
Anemxer,https://m.media-amazon.com/images/I/61eefAHbdGL._AC_UL320_.jpg,₹449,3.7,
Louis Kouros,https://m.media-amazon.com/images/I/61H6211k7jL._AC_UL320_.jpg,"₹1,499",4.2,
NSSIW,https://m.media-amazon.com/images/I/51VQ7s9M0tL._AC_UL320_.jpg,₹999,2.0,
grey jack,https://m.media-amazon.com/images/I/41i9FaYKCaL._AC_UL320_.jpg,"₹1,039",3.7,
